Filename, Mean, HM, Median, Median_Group, Median_High, Median_Low, Mode, Std.Pop, Std, Variance_P, Variance, Min, Max, Range, Q1, Q2, Q3, IQR, 85thPercentile, Skewness, Kurtosis, Jerk_Min, Jerk_Max, Jerk_Mean, Snap_Min, Snap_Max, Snap_Mean,Rating
00225f53-4200bde2.json.txt,1.417499996,0,0.289999992,-0.110000014,0.389999986,0.189999998,0,2.076337826,2.102789056,4.311178767,4.421721813,0,6.829999924,6.829999924,0,0.289999992,1.99999994,1.99999994,3.605000019,1.504624144,1.097024991,-6.4,4.5,0.000149031,-507.5,502.5,0.011242712,4
00225f53-67614580.json.txt,6.678749985,5.836135813,7.019999981,6.570000172,7.070000172,6.96999979,10.27999973,2.093005175,2.119668737,4.380670664,4.492995553,2.390000105,10.48999977,8.099999666,5.399999857,7.019999981,7.745000124,2.345000267,8.739999771,-0.10043839,-0.137167113,-8.6,8.9,0.001187947,-600,875,-0.013132706,3
00268999-9f6d5823.json.txt,7.061707327,0,8.56000042,8.56000042,8.56000042,8.56000042,0,4.92839404,4.989618674,24.28906781,24.89629451,0,13.38000011,13.38000011,2.069999933,8.56000042,11.51000023,9.440000296,12.39000034,-0.25736754,-1.606316122,-20.15,25.75,0.000722302,-1852.5,2045,0.016817555,4
00268999-a4b8e39d.json.txt,3.703571416,0,1.814999998,1.379999995,1.879999995,1.75,0,4.138577966,4.188744379,17.12782758,17.54557948,0,13.78999996,13.78999996,0,1.814999998,6.694999933,6.694999933,8.384999752,0.826816717,-0.513178384,-20.3,16.65,-1.75E-05,-1847.5,1815,0.018243416,3
00268999-cb063914.json.txt,7.217560956,0,6.230000019,6.230000019,6.230000019,6.230000019,0,7.070042846,7.157872832,49.98550584,51.23514349,0,16.29999924,16.29999924,0,6.230000019,14.02000046,14.02000046,15.27999973,0.056299131,-1.990566137,-32.6,27.5,0.000317944,-2825,2522.5,0.08230597,3
002ab96a-a96704f9.json.txt,8.763902432,6.990248883,9.68999958,9.68999958,9.68999958,9.68999958,12.06000042,2.956506608,2.993234806,8.740931323,8.959454606,1.75,12.17000008,10.42000008,6.739999771,9.68999958,11.22000027,4.480000496,11.77999973,-0.865958984,-0.255950487,-70.6,83.52631579,0.009464542,-6741.315789,6993.490305,0.570812397,4
002ab96a-ea678692.json.txt,7.238780451,2.815994963,8.670000076,8.670000076,8.670000076,8.670000076,10.19999981,4.649852391,4.707616748,21.62112726,22.16165544,0.25,13.75,13.5,2.769999981,8.670000076,11.94999981,9.179999828,12.77999973,0.023491499,-1.71644383,-42,48.15,9.17E-05,-4142.5,4275,0.182079852,4
00488b40-0a8cf1a0.json.txt,8.379268278,0,11.89000034,11.89000034,11.89000034,11.89000034,0,6.923415335,7.009423792,47.9336799,49.1320219,0,17.51000023,17.51000023,0.460000008,11.89000034,14.57999992,14.11999992,15.98999977,-0.162873293,-1.827545618,-58.55,61.7,-0.00132231,-4557.5,4970,0.112906968,3
0065fe83-c80cf6c3.json.txt,8.617317067,0,10,10,10,10,9.880000114,3.538182685,3.582136951,12.51873671,12.83170513,0,14.38000011,14.38000011,5.889999866,10,10.69999981,4.809999943,11.06000042,-0.770703594,0.006186251,-56.55,54.8,0.005075282,-5567.5,4232.5,0.313497897,3
006d6f8e-4759e8c1.json.txt,6.394634151,0,7.090000153,7.090000153,7.090000153,7.090000153,0,5.995917765,6.070404072,35.95102985,36.84980559,0,13.68000031,13.68000031,0,7.090000153,12.13000011,12.13000011,13.10000038,-0.014452494,-1.994038047,-22.8,33,0.003417493,-2312.5,2727.5,0.067523431,4
